Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2013,0.59,0.11,0.03,0.18,0.1,0,0
2013,0.38,0.34,0,0.18,0.1,0,0
2013,0.69,0,0,0.21,0.1,0,0
2013,0.67,0.23,0,0,0.1,0,0
2013,0.59,0.28,0,0.02,0.11,0,0
2013,0.59,0.2,0,0.09,0.11,0,0
2013,0.49,0.28,0,0.12,0.11,0,0
2013,0.57,0.19,0,0.13,0.11,0,0
2013,0.56,0,0.14,0.2,0.11,0,0
2013,0.65,0,0,0.24,0.11,0,0
2013,0.68,0.12,0,0.08,0.12,0,0
2013,0.55,0.23,0,0.11,0.12,0,0
2013,0.55,0.03,0.17,0.13,0.12,0,0
2013,0.51,0,0.18,0.2,0.12,0,0
2013,0.69,0.17,0,0.02,0.13,0,0
2013,0.53,0.2,0.09,0.07,0.13,0,0
2013,0.52,0,0.23,0.12,0.13,0,0
2013,0.55,0,0.2,0.13,0.13,0,0
2013,0.64,0,0.09,0.14,0.14,0,0
2013,0.39,0,0.35,0.14,0.14,0,0
2013,0.42,0.06,0.23,0.15,0.14,0,0
2013,0.59,0.1,0.02,0.16,0.14,0,0
2013,0.57,0.22,0,0.06,0.15,0,0
2013,0.61,0.15,0,0.09,0.15,0,0
2013,0.47,0.28,0,0.1,0.15,0,0
2013,0.57,0.15,0,0.14,0.15,0,0
2013,0.57,0.12,0,0.16,0.15,0,0
2013,0.62,0,0.06,0.17,0.15,0,0
2013,0.51,0.14,0,0.2,0.15,0,0
2013,0.55,0.01,0.21,0.08,0.16,0,0
2013,0.44,0.27,0,0.13,0.16,0,0
2013,0.45,0.26,0,0.13,0.16,0,0
2013,0.62,0.06,0,0.17,0.16,0,0
2013,0.65,0,0,0.19,0.16,0,0
2013,0.61,0,0,0.23,0.16,0,0
2013,0.54,0,0.18,0.11,0.17,0,0
2013,0.48,0.24,0,0.11,0.17,0,0
2013,0.56,0.13,0,0.14,0.17,0,0
2013,0.54,0.18,0,0.1,0.18,0,0
2013,0.62,0,0,0.2,0.18,0,0
2013,0.63,0.15,0,0.03,0.19,0,0
2013,0.51,0.3,0,0,0.19,0,0
2013,0.46,0,0.27,0.07,0.2,0,0
2013,0.56,0.13,0,0.1,0.2,0,0
2013,0.56,0.15,0,0.08,0.21,0,0
2013,0.6,0,0.07,0.12,0.21,0,0
2013,0.54,0,0,0.25,0.21,0,0
2013,0.64,0.14,0,0.01,0.22,0,0
2013,0.54,0.14,0,0.1,0.22,0,0
2013,0.41,0.36,0,0,0.22,0,0
2013,0.54,0,0.21,0.03,0.23,0,0
2013,0.49,0.17,0,0.11,0.23,0,0
2013,0.54,0.1,0,0.13,0.23,0,0
2013,0.55,0,0.04,0.18,0.23,0,0
2013,0.58,0.13,0,0.05,0.24,0,0
2013,0.47,0.21,0,0.07,0.24,0,0
2013,0.5,0.18,0,0.08,0.24,0,0
2013,0.5,0,0.18,0.07,0.25,0,0
2013,0.41,0,0.22,0.12,0.25,0,0
2013,0.59,0,0,0.17,0.25,0,0
2013,0.46,0,0.17,0.1,0.26,0,0
2013,0.51,0.14,0,0.07,0.28,0,0
2013,0.48,0.06,0.09,0.1,0.28,0,0
2013,0.56,0,0.01,0.15,0.28,0,0
2013,0.5,0,0.1,0.12,0.29,0,0
2013,0.52,0.13,0,0.05,0.3,0,0
2013,0.56,0.15,0,0,0.3,0,0
2013,0.54,0,0.01,0.15,0.31,0,0
2013,0.43,0,0,0.24,0.33,0,0
2014,0.53,0.1,0.08,0.17,0.13,0,0
2014,0.12,0,0,0,0.02,0,0.86
2014,0.62,0.09,0.09,0,0.2,0.01,0
2014,0.54,0.21,0.11,0.09,0.04,0.02,0
